Bug_ID,Sprint,Release_Version,Module,Feature,Component,Priority,Severity,Status,Resolution,Root_Cause,Team,Date_Reported,Date_Closed,Resolution_Time_Hours
BUG-0034,Sprint-2,v1.1,Dashboard,Payments,Worker,P3,Critical,Closed,Fixed,Validation Issue,Backend,2026-02-07,2026-02-07,17.6
BUG-0035,Sprint-8,v1.1,Analytics,Dashboard,Service,P2,Medium,Open,Won't Fix,Concurrency,DevOps,2026-02-09,,
BUG-0036,Sprint-4,v1.2,Reports,Search,Worker,P1,High,Open,Won't Fix,Performance,DevOps,2026-02-09,,
BUG-0037,Sprint-4,v1.1,Chat,Payments,Integration,P0,Medium,Open,Works as Designed,Integration Failure,Frontend,2026-02-11,,
BUG-0038,Sprint-10,v2.1,Sync,Payments,Service,P2,Low,New,Won't Fix,Validation Issue,Mobile,2026-02-11,,
BUG-0039,Sprint-2,v1.2,Search,Export,Service,P1,Critical,Open,Deferred,Concurrency,Frontend,2026-02-14,,
BUG-0040,Sprint-9,v2.1,Invoice,Authentication,API,P2,Low,Open,Works as Designed,Performance,QA,2026-02-13,,
BUG-0041,Sprint-9,v2.1,Backup,Reporting,Service,P2,Medium,Open,Deferred,Concurrency,DevOps,2026-02-14,,
BUG-0042,Sprint-4,v2.0,Scanner,Search,Service,P3,High,Retest,Fixed,Configuration,Mobile,2026-02-16,,
BUG-0043,Sprint-1,v1.1,Maps,Dashboard,Worker,P2,High,Closed,Duplicate,Concurrency,DevOps,2026-02-18,2026-02-19,24.2
BUG-0044,Sprint-8,v2.1,Backup,Sync,API,P2,Low,Retest,Fixed,Configuration,DevOps,2026-02-20,,
BUG-0045,Sprint-8,v2.0,Search,Authentication,Worker,P3,Critical,Closed,Fixed,Concurrency,Mobile,2026-02-20,2026-02-20,14.7
BUG-0046,Sprint-3,v2.1,Scanner,Sync,Integration,P2,Medium,In Progress,Won't Fix,Logic Error,Backend,2026-02-19,,
BUG-0047,Sprint-6,v1.2,Reports,Sync,API,P0,Medium,Open,Cannot Reproduce,Logic Error,QA,2026-02-22,,
BUG-0048,Sprint-6,v1.2,Settings,Authentication,Mobile App,P2,Critical,Verified,Fixed,Data Error,Frontend,2026-02-22,,
BUG-0049,Sprint-4,v1.0,Reports,Search,Worker,P3,High,Retest,Fixed,Integration Failure,Mobile,2026-02-23,,
BUG-0050,Sprint-6,v2.0,Scanner,Sync,UI,P2,Low,In Progress,Cannot Reproduce,Concurrency,QA,2026-02-25,,
BUG-0051,Sprint-6,v2.1,Search,Reporting,Integration,P1,Critical,Fixed,Fixed,Validation Issue,DevOps,2026-02-25,,
BUG-0052,Sprint-5,v2.1,Invoice,Authentication,Database,P3,Critical,New,Duplicate,UI/UX,QA,2026-02-28,,
BUG-0053,Sprint-6,v2.0,Settings,Sync,Database,P3,High,Retest,Fixed,Configuration,QA,2026-03-01,,
BUG-0054,Sprint-8,v1.1,Download,User Profile,Service,P3,Medium,Open,Works as Designed,Performance,Mobile,2026-03-02,,
BUG-0055,Sprint-3,v2.0,Payment,Reporting,Service,P2,Medium,New,Duplicate,Logic Error,Backend,2026-02-28,,
BUG-0056,Sprint-1,v2.0,Camera,Export,Service,P3,Critical,In Progress,Fixed,Logic Error,Backend,2026-03-03,,
BUG-0057,Sprint-8,v1.1,Calendar,Sync,Integration,P3,Low,Retest,Fixed,UI/UX,DevOps,2026-03-05,,
BUG-0058,Sprint-10,v1.2,Settings,Dashboard,Database,P0,Medium,New,Deferred,Concurrency,QA,2026-03-06,,
BUG-0059,Sprint-2,v1.1,Login,Notifications,Worker,P2,Critical,Verified,Fixed,Validation Issue,Mobile,2026-03-04,,
BUG-0060,Sprint-4,v1.0,Reports,Reporting,Worker,P2,Low,Verified,Fixed,UI/UX,Frontend,2026-03-05,,
BUG-0061,Sprint-6,v1.0,Login,File Upload,Database,P1,Medium,Verified,Fixed,Data Error,Backend,2026-03-06,,
BUG-0062,Sprint-3,v1.1,Checkout,Reporting,API,P1,Low,Open,Cannot Reproduce,Data Error,QA,2026-03-08,,
BUG-0063,Sprint-8,v1.1,Download,Sync,Worker,P3,Medium,Closed,Works as Designed,UI/UX,Mobile,2026-03-09,2026-03-09,17.3
BUG-0064,Sprint-9,v2.0,Login,Export,UI,P0,High,New,Deferred,Validation Issue,Mobile,2026-03-11,,
BUG-0065,Sprint-7,v2.0,Invoice,Sync,Integration,P1,Medium,Assigned,Cannot Reproduce,UI/UX,Backend,2026-03-12,,
BUG-0066,Sprint-4,v2.0,Sync,File Upload,Mobile App,P0,Medium,Closed,Works as Designed,UI/UX,DevOps,2026-03-14,2026-03-15,34.5
BUG-0067,Sprint-6,v1.0,Sync,Authentication,Mobile App,P1,Critical,Assigned,Deferred,Concurrency,DevOps,2026-03-12,,
BUG-0068,Sprint-2,v1.2,Download,Notifications,Mobile App,P2,Low,Verified,Fixed,UI/UX,Backend,2026-03-14,,
BUG-0069,Sprint-1,v1.0,Login,Sync,API,P3,Low,Retest,Fixed,Configuration,Backend,2026-03-14,,
BUG-0070,Sprint-9,v1.2,Profile,Reporting,UI,P3,Critical,Fixed,Fixed,Integration Failure,QA,2026-03-15,,
BUG-0071,Sprint-8,v1.2,Checkout,Payments,Integration,P2,Low,Assigned,Cannot Reproduce,Concurrency,DevOps,2026-03-18,,
BUG-0072,Sprint-10,v1.0,Chat,Notifications,Integration,P2,Low,Closed,Fixed,Data Error,QA,2026-03-19,2026-03-20,35.8
BUG-0073,Sprint-4,v1.0,Invoice,Export,API,P2,Medium,Closed,Fixed,Concurrency,DevOps,2026-03-20,2026-03-21,24.7
BUG-0074,Sprint-5,v1.2,Camera,Notifications,Service,P1,Low,New,Cannot Reproduce,Logic Error,QA,2026-03-21,,
BUG-0075,Sprint-9,v1.0,Reports,Payments,Worker,P1,Critical,New,Cannot Reproduce,Data Error,Frontend,2026-03-22,,
BUG-0076,Sprint-3,v1.2,Scanner,Search,API,P3,Low,Closed,Fixed,Performance,QA,2026-03-22,2026-03-23,30.8
BUG-0077,Sprint-6,v2.1,Profile,User Profile,Worker,P2,Low,New,Works as Designed,Integration Failure,Mobile,2026-03-23,,
BUG-0078,Sprint-4,v1.2,Backup,File Upload,UI,P2,Low,New,Works as Designed,Concurrency,Mobile,2026-03-23,,
BUG-0079,Sprint-3,v1.0,Notification,Export,Worker,P3,Critical,Fixed,Fixed,Configuration,Frontend,2026-03-25,,
BUG-0080,Sprint-10,v1.0,Reports,Search,Worker,P1,Medium,New,Duplicate,Performance,QA,2026-03-28,,
BUG-0081,Sprint-5,v1.2,Download,Reporting,Integration,P0,High,Fixed,Fixed,Performance,Frontend,2026-03-26,,
BUG-0082,Sprint-6,v1.1,Maps,Reporting,Integration,P1,Medium,In Progress,Cannot Reproduce,Logic Error,DevOps,2026-03-28,,
BUG-0083,Sprint-6,v1.1,Camera,Authentication,UI,P2,Critical,Open,Won't Fix,Logic Error,DevOps,2026-03-29,,
BUG-0084,Sprint-7,v1.1,Invoice,Authentication,UI,P1,Low,In Progress,Cannot Reproduce,Data Error,QA,2026-03-30,,
BUG-0085,Sprint-7,v2.0,Reports,File Upload,Mobile App,P2,Critical,Fixed,Fixed,Validation Issue,Mobile,2026-03-30,,
BUG-0086,Sprint-2,v2.1,Login,Sync,Worker,P0,Critical,New,Cannot Reproduce,Logic Error,Frontend,2026-04-01,,
BUG-0087,Sprint-2,v1.0,Scanner,Sync,API,P1,Low,In Progress,Works as Designed,Validation Issue,DevOps,2026-04-04,,
BUG-0088,Sprint-7,v1.2,Upload,User Profile,Mobile App,P0,Medium,Fixed,Fixed,Configuration,Mobile,2026-04-03,,
BUG-0089,Sprint-6,v2.0,Camera,Search,Integration,P2,High,Open,Works as Designed,Performance,Mobile,2026-04-05,,
BUG-0090,Sprint-9,v2.0,Payment,Dashboard,Worker,P1,Low,In Progress,Won't Fix,Validation Issue,DevOps,2026-04-07,,
BUG-0091,Sprint-4,v1.2,Notification,Reporting,Worker,P1,Medium,Fixed,Fixed,Concurrency,Frontend,2026-04-08,,
BUG-0092,Sprint-5,v1.0,Profile,Search,Worker,P2,Low,Fixed,Fixed,Configuration,Backend,2026-04-06,,
BUG-0093,Sprint-8,v2.1,Settings,File Upload,Worker,P2,Critical,Verified,Fixed,Validation Issue,Mobile,2026-04-07,,
BUG-0094,Sprint-5,v2.0,Backup,Payments,Mobile App,P3,Low,Retest,Fixed,UI/UX,DevOps,2026-04-10,,
BUG-0095,Sprint-8,v1.1,Chat,Sync,UI,P2,Critical,Fixed,Fixed,Validation Issue,DevOps,2026-04-09,,
BUG-0096,Sprint-4,v1.2,Sync,Notifications,Integration,P0,High,Verified,Fixed,Data Error,QA,2026-04-12,,
BUG-0097,Sprint-2,v1.2,Analytics,Reporting,Database,P2,Medium,Verified,Fixed,UI/UX,DevOps,2026-01-05,,
BUG-0098,Sprint-10,v1.1,Sync,Dashboard,API,P1,Medium,Assigned,Fixed,Integration Failure,Frontend,2026-01-08,,
BUG-0099,Sprint-6,v2.0,Profile,Sync,Database,P2,Medium,Open,Deferred,Integration Failure,DevOps,2026-01-07,,
BUG-0100,Sprint-3,v2.1,Upload,Search,API,P1,High,Assigned,Deferred,Integration Failure,Backend,2026-01-10,,
BUG-0101,Sprint-9,v2.0,Profile,Sync,Mobile App,P0,Low,In Progress,Deferred,Concurrency,Mobile,2026-01-09,,
BUG-0102,Sprint-1,v2.1,Camera,File Upload,Service,P1,Medium,Fixed,Fixed,Validation Issue,DevOps,2026-01-12,,
BUG-0103,Sprint-2,v2.0,Upload,Authentication,API,P0,Medium,Closed,Duplicate,Performance,DevOps,2026-01-14,2026-01-14,22.6
BUG-0104,Sprint-10,v1.2,Login,File Upload,API,P2,Low,Fixed,Fixed,Logic Error,Mobile,2026-01-13,,
BUG-0105,Sprint-5,v2.0,Settings,Notifications,Mobile App,P1,Medium,Verified,Fixed,Configuration,Frontend,2026-01-16,,
BUG-0106,Sprint-5,v2.0,Calendar,File Upload,Mobile App,P1,Critical,Closed,Fixed,Data Error,QA,2026-01-17,2026-01-18,27.8
BUG-0107,Sprint-7,v2.0,Login,Search,Service,P2,High,Retest,Fixed,Logic Error,DevOps,2026-01-18,,
BUG-0108,Sprint-6,v1.2,Calendar,Dashboard,Integration,P2,Low,In Progress,Cannot Reproduce,Validation Issue,Backend,2026-01-17,,
BUG-0109,Sprint-10,v1.0,Payment,Payments,Worker,P1,Critical,New,Cannot Reproduce,Configuration,Backend,2026-01-20,,
BUG-0110,Sprint-7,v1.0,Search,Export,UI,P0,Low,In Progress,Won't Fix,Configuration,DevOps,2026-01-20,,
BUG-0111,Sprint-9,v1.2,Dashboard,Reporting,Mobile App,P0,High,Open,Won't Fix,Integration Failure,Frontend,2026-01-20,,
BUG-0112,Sprint-6,v2.1,Sync,Sync,Worker,P2,Critical,Closed,Works as Designed,Configuration,DevOps,2026-01-21,2026-01-22,24.8
BUG-0113,Sprint-2,v2.0,Reports,Payments,Integration,P1,Low,Retest,Fixed,UI/UX,QA,2026-01-22,,
BUG-0114,Sprint-3,v1.0,Login,Sync,Service,P1,Medium,Retest,Fixed,Logic Error,Frontend,2026-01-22,,
BUG-0115,Sprint-9,v1.0,Calendar,User Profile,Mobile App,P2,Critical,Verified,Fixed,Data Error,Mobile,2026-01-25,,
BUG-0116,Sprint-7,v2.1,Dashboard,File Upload,Mobile App,P3,Critical,Closed,Works as Designed,Concurrency,QA,2026-01-24,2026-01-25,27.1
BUG-0117,Sprint-8,v1.2,Calendar,Export,Worker,P2,Critical,Assigned,Fixed,Integration Failure,Frontend,2026-01-26,,
BUG-0118,Sprint-7,v2.0,Search,Export,Mobile App,P2,Medium,Verified,Fixed,Integration Failure,DevOps,2026-01-27,,
BUG-0119,Sprint-7,v1.2,Upload,Authentication,Integration,P1,Medium,New,Duplicate,Configuration,Frontend,2026-01-29,,
BUG-0120,Sprint-2,v2.0,Login,Payments,Worker,P2,High,New,Fixed,Integration Failure,DevOps,2026-01-30,,
BUG-0121,Sprint-5,v1.2,Payment,Reporting,Mobile App,P3,Medium,Closed,Won't Fix,Validation Issue,DevOps,2026-01-29,2026-01-30,30.5
BUG-0122,Sprint-4,v2.1,Calendar,Dashboard,Mobile App,P2,High,Closed,Duplicate,Configuration,Frontend,2026-02-02,2026-02-02,18.6
BUG-0123,Sprint-1,v1.1,Maps,Sync,UI,P1,High,New,Duplicate,Performance,Backend,2026-02-02,,
BUG-0124,Sprint-5,v1.0,Search,Export,Integration,P0,Critical,Verified,Fixed,Logic Error,DevOps,2026-02-02,,
BUG-0125,Sprint-9,v1.1,Checkout,User Profile,Integration,P1,Critical,In Progress,Cannot Reproduce,Integration Failure,Mobile,2026-02-03,,
BUG-0126,Sprint-6,v1.1,Reports,User Profile,Database,P1,Medium,In Progress,Works as Designed,Concurrency,Backend,2026-02-03,,
BUG-0127,Sprint-5,v2.0,Dashboard,File Upload,Worker,P3,Medium,Assigned,Duplicate,Concurrency,Mobile,2026-02-05,,
BUG-0128,Sprint-4,v2.0,Checkout,Notifications,Integration,P2,Critical,Closed,Works as Designed,Integration Failure,DevOps,2026-02-07,2026-02-07,21.0
BUG-0129,Sprint-3,v1.2,Settings,Search,Worker,P2,High,Fixed,Fixed,Validation Issue,DevOps,2026-02-06,,
BUG-0130,Sprint-5,v1.2,Reports,Export,UI,P2,High,Fixed,Fixed,Data Error,Frontend,2026-02-07,,
BUG-0131,Sprint-5,v1.0,Profile,Authentication,Service,P3,Medium,Assigned,Works as Designed,Configuration,Backend,2026-02-09,,
BUG-0132,Sprint-3,v1.0,Maps,Search,Integration,P1,Critical,Open,Fixed,Configuration,Backend,2026-02-12,,
BUG-0133,Sprint-5,v2.0,Chat,Sync,Service,P1,Low,In Progress,Fixed,Logic Error,Frontend,2026-02-11,,
BUG-0134,Sprint-6,v1.1,Settings,User Profile,Mobile App,P1,Critical,Open,Duplicate,Data Error,Frontend,2026-02-11,,
BUG-0135,Sprint-10,v1.0,Backup,Notifications,Service,P1,High,Fixed,Fixed,Concurrency,Frontend,2026-02-14,,
BUG-0136,Sprint-8,v1.0,Search,User Profile,UI,P2,Low,In Progress,Works as Designed,Integration Failure,DevOps,2026-02-13,,
BUG-0137,Sprint-2,v1.1,Sync,Dashboard,UI,P2,High,Open,Fixed,Validation Issue,QA,2026-02-17,,
BUG-0138,Sprint-10,v2.1,Settings,Export,Integration,P0,Medium,Retest,Fixed,Logic Error,Mobile,2026-02-17,,
BUG-0139,Sprint-8,v1.2,Invoice,Authentication,Database,P2,Critical,Closed,Fixed,Validation Issue,DevOps,2026-02-19,2026-02-20,30.7
BUG-0140,Sprint-4,v1.0,Sync,File Upload,UI,P2,Critical,Retest,Fixed,Logic Error,DevOps,2026-02-18,,
BUG-0141,Sprint-3,v1.1,Reports,Sync,Worker,P2,Medium,Verified,Fixed,Integration Failure,Backend,2026-02-20,,
BUG-0142,Sprint-8,v2.0,Backup,Payments,UI,P2,Low,Assigned,Deferred,Logic Error,Backend,2026-02-19,,
BUG-0143,Sprint-2,v2.1,Payment,Export,Service,P3,Medium,Closed,Duplicate,UI/UX,Frontend,2026-02-20,2026-02-20,13.7
BUG-0144,Sprint-3,v1.0,Maps,Payments,API,P1,Critical,Closed,Duplicate,Configuration,Mobile,2026-02-22,2026-02-23,26.3
BUG-0145,Sprint-5,v2.0,Maps,Reporting,Service,P2,Critical,Fixed,Fixed,Concurrency,DevOps,2026-02-25,,
BUG-0146,Sprint-4,v2.0,Calendar,Dashboard,Mobile App,P2,High,Verified,Fixed,Integration Failure,QA,2026-02-25,,
BUG-0147,Sprint-7,v1.0,Maps,Payments,Database,P1,Low,Verified,Fixed,Concurrency,QA,2026-02-26,,
BUG-0148,Sprint-2,v2.0,Notification,Sync,API,P1,Low,Verified,Fixed,Configuration,QA,2026-02-28,,
BUG-0149,Sprint-5,v1.0,Calendar,Dashboard,Database,P1,Low,Verified,Fixed,Integration Failure,Frontend,2026-03-01,,
BUG-0150,Sprint-2,v2.0,Backup,Reporting,API,P2,Low,Assigned,Cannot Reproduce,Performance,DevOps,2026-02-28,,
BUG-0151,Sprint-7,v1.0,Upload,Reporting,Worker,P3,Critical,Closed,Works as Designed,Concurrency,DevOps,2026-03-02,2026-03-03,26.8
BUG-0152,Sprint-6,v2.1,Chat,Export,Database,P2,Medium,Open,Works as Designed,Data Error,DevOps,2026-03-03,,
BUG-0153,Sprint-1,v1.0,Analytics,Reporting,Service,P1,Critical,Verified,Fixed,Data Error,QA,2026-03-04,,
BUG-0154,Sprint-4,v2.0,Dashboard,User Profile,Database,P2,Low,In Progress,Duplicate,Concurrency,Backend,2026-03-03,,
BUG-0155,Sprint-5,v2.0,Checkout,Sync,API,P3,High,New,Won't Fix,Configuration,DevOps,2026-03-04,,
BUG-0156,Sprint-5,v1.2,Login,Reporting,Worker,P2,Critical,Fixed,Fixed,Integration Failure,DevOps,2026-03-05,,
BUG-0157,Sprint-2,v1.1,Download,Sync,API,P3,Medium,In Progress,Fixed,Configuration,QA,2026-03-07,,
BUG-0158,Sprint-5,v2.1,Chat,User Profile,API,P2,Low,In Progress,Works as Designed,Validation Issue,DevOps,2026-03-09,,
BUG-0159,Sprint-10,v2.1,Profile,Dashboard,Integration,P2,High,Open,Deferred,Validation Issue,Backend,2026-03-11,,
BUG-0160,Sprint-10,v2.0,Reports,Export,Database,P2,Critical,Retest,Fixed,Integration Failure,QA,2026-03-11,,
BUG-0161,Sprint-5,v1.1,Profile,Export,Integration,P2,High,Retest,Fixed,Logic Error,Frontend,2026-03-11,,
BUG-0162,Sprint-10,v1.1,Maps,Notifications,Database,P1,Critical,Fixed,Fixed,UI/UX,Frontend,2026-03-12,,
BUG-0163,Sprint-3,v2.1,Invoice,Reporting,Worker,P2,High,New,Won't Fix,UI/UX,QA,2026-03-14,,
BUG-0164,Sprint-9,v2.1,Sync,Reporting,UI,P2,Low,Open,Cannot Reproduce,Configuration,QA,2026-03-13,,
BUG-0165,Sprint-5,v1.0,Calendar,Authentication,Worker,P2,High,Fixed,Fixed,UI/UX,Backend,2026-03-14,,
BUG-0166,Sprint-10,v2.0,Settings,Payments,Worker,P2,High,Assigned,Cannot Reproduce,UI/UX,Mobile,2026-03-18,,
BUG-0167,Sprint-3,v2.0,Calendar,Authentication,UI,P1,Critical,New,Deferred,Concurrency,Mobile,2026-03-17,,
BUG-0168,Sprint-1,v2.1,Chat,File Upload,Integration,P1,Critical,Closed,Works as Designed,Configuration,DevOps,2026-03-20,2026-03-21,38.3
BUG-0169,Sprint-4,v2.1,Settings,Search,Database,P2,Medium,Closed,Won't Fix,Performance,Mobile,2026-03-21,2026-03-21,23.3
BUG-0170,Sprint-8,v1.1,Chat,Search,API,P1,Critical,Retest,Fixed,UI/UX,Mobile,2026-03-19,,
BUG-0171,Sprint-6,v1.1,Maps,User Profile,Worker,P3,Low,Closed,Won't Fix,Configuration,Backend,2026-03-23,2026-03-23,18.8
BUG-0172,Sprint-3,v2.0,Scanner,Payments,Service,P3,Low,Assigned,Works as Designed,Logic Error,Frontend,2026-03-22,,
BUG-0173,Sprint-6,v1.1,Sync,File Upload,API,P3,High,Closed,Works as Designed,Logic Error,DevOps,2026-03-25,2026-03-26,24.5
BUG-0174,Sprint-10,v1.0,Camera,Dashboard,UI,P1,Critical,Closed,Works as Designed,UI/UX,DevOps,2026-03-26,2026-03-27,27.4
BUG-0175,Sprint-9,v1.0,Sync,Export,UI,P0,Medium,Open,Duplicate,Configuration,QA,2026-03-27,,
BUG-0176,Sprint-3,v2.0,Settings,Payments,Integration,P1,Critical,Assigned,Fixed,Validation Issue,Backend,2026-03-27,,
BUG-0177,Sprint-7,v1.2,Settings,File Upload,Integration,P1,Low,Open,Works as Designed,Integration Failure,Backend,2026-03-26,,
BUG-0178,Sprint-10,v1.0,Chat,File Upload,Integration,P0,Critical,In Progress,Cannot Reproduce,Concurrency,QA,2026-03-30,,
BUG-0179,Sprint-8,v2.1,Chat,File Upload,Mobile App,P2,Critical,In Progress,Won't Fix,Configuration,Backend,2026-03-31,,
BUG-0180,Sprint-7,v2.1,Search,Export,Service,P2,Critical,Closed,Duplicate,UI/UX,Mobile,2026-04-01,2026-04-02,44.0
BUG-0181,Sprint-4,v1.0,Profile,User Profile,Database,P1,Medium,New,Duplicate,Logic Error,QA,2026-03-30,,
BUG-0182,Sprint-3,v2.1,Sync,Notifications,Worker,P3,Medium,Closed,Duplicate,Logic Error,QA,2026-04-03,2026-04-03,19.0
BUG-0183,Sprint-2,v2.1,Payment,Reporting,Integration,P2,Low,Open,Won't Fix,Performance,Frontend,2026-04-04,,
BUG-0184,Sprint-1,v1.2,Profile,Reporting,Service,P0,Medium,New,Won't Fix,Performance,Mobile,2026-04-02,,
BUG-0185,Sprint-1,v2.1,Dashboard,Export,Database,P2,Medium,Closed,Fixed,Concurrency,QA,2026-04-06,2026-04-06,23.4
BUG-0186,Sprint-6,v1.1,Reports,Export,Database,P1,Critical,Fixed,Fixed,Configuration,DevOps,2026-04-07,,
BUG-0187,Sprint-8,v1.1,Invoice,Export,Database,P1,High,Fixed,Fixed,Performance,DevOps,2026-04-08,,
BUG-0188,Sprint-2,v2.0,Maps,Sync,Database,P2,Low,Verified,Fixed,UI/UX,DevOps,2026-04-08,,
BUG-0189,Sprint-7,v2.1,Payment,Dashboard,Integration,P2,Critical,Verified,Fixed,Configuration,Backend,2026-04-07,,
BUG-0190,Sprint-9,v1.0,Notification,Sync,Worker,P1,High,Assigned,Fixed,UI/UX,Mobile,2026-04-10,,
BUG-0191,Sprint-2,v1.2,Settings,Payments,UI,P2,Critical,Assigned,Won't Fix,Validation Issue,QA,2026-04-10,,
BUG-0192,Sprint-10,v2.1,Download,Notifications,API,P1,Critical,Verified,Fixed,Validation Issue,Mobile,2026-04-11,,
BUG-0193,Sprint-2,v1.1,Analytics,Export,UI,P2,High,New,Deferred,Data Error,Mobile,2026-01-07,,
BUG-0194,Sprint-3,v1.2,Maps,Payments,Worker,P2,Medium,Retest,Fixed,Logic Error,Frontend,2026-01-09,,
BUG-0195,Sprint-4,v1.0,Checkout,Dashboard,Integration,P2,Low,Open,Cannot Reproduce,Integration Failure,Frontend,2026-01-08,,
BUG-0196,Sprint-4,v1.2,Backup,Authentication,Database,P1,Critical,Assigned,Works as Designed,Validation Issue,DevOps,2026-01-11,,
BUG-0197,Sprint-10,v2.1,Search,Sync,UI,P2,Critical,Retest,Fixed,Concurrency,DevOps,2026-01-11,,
BUG-0198,Sprint-1,v1.2,Checkout,Sync,Worker,P2,High,Retest,Fixed,UI/UX,Backend,2026-01-11,,
BUG-0199,Sprint-2,v1.2,Sync,Notifications,UI,P1,Medium,In Progress,Deferred,Data Error,Mobile,2026-01-11,,
BUG-0200,Sprint-8,v1.0,Checkout,Reporting,Service,P1,Medium,Open,Fixed,Configuration,Backend,2026-01-14,,
